value,type,log_date,tz
239571,DAU,2018-1-1,0
177165,DAU,2018-1-2,0
188210,DAU,2018-1-3,0
189976,DAU,2018-1-4,0
209511,DAU,2018-1-5,0
280044,DAU,2018-1-6,0
278372,DAU,2018-1-7,0
210852,DAU,2018-1-8,0
197285,DAU,2018-1-9,0
203611,DAU,2018-1-10,0
205014,DAU,2018-1-11,0
231953,DAU,2018-1-12,0
292995,DAU,2018-1-13,0
308987,DAU,2018-1-14,0
259637,DAU,2018-1-15,0
258698,DAU,2018-1-16,0
276624,DAU,2018-1-17,0
281103,DAU,2018-1-18,0
309035,DAU,2018-1-19,0
349605,DAU,2018-1-20,0
371969,DAU,2018-1-21,0
317132,DAU,2018-1-22,0
311610,DAU,2018-1-23,0
313307,DAU,2018-1-24,0
319410,DAU,2018-1-25,0
337358,DAU,2018-1-26,0
361018,DAU,2018-1-27,0
362203,DAU,2018-1-28,0
334482,DAU,2018-1-29,0
325959,DAU,2018-1-30,0
293818,DAU,2018-1-31,0
342697,DAU,2018-2-1,0
363530,DAU,2018-2-2,0
380646,DAU,2018-2-3,0
389599,DAU,2018-2-4,0
377643,DAU,2018-2-5,0
365372,DAU,2018-2-6,0
372571,DAU,2018-2-7,0
380897,DAU,2018-2-8,0
376025,DAU,2018-2-9,0
389010,DAU,2018-2-10,0
387514,DAU,2018-2-11,0
389003,DAU,2018-2-12,0
397894,DAU,2018-2-13,0
401117,DAU,2018-2-14,0
401968,DAU,2018-2-15,0
404648,DAU,2018-2-16,0
396946,DAU,2018-2-17,0
414204,DAU,2018-2-18,0
406291,DAU,2018-2-19,0
404032,DAU,2018-2-20,0
402830,DAU,2018-2-21,0
404370,DAU,2018-2-22,0
392652,DAU,2018-2-23,0
386257,DAU,2018-2-24,0
365997,DAU,2018-2-25,0
338785,DAU,2018-2-26,0
327092,DAU,2018-2-27,0
325549,DAU,2018-2-28,0
316224,DAU,2018-3-1,0
324129,DAU,2018-3-2,0
336505,DAU,2018-3-3,0
316738,DAU,2018-3-4,0
250084,DAU,2018-3-5,0
250450,DAU,2018-3-6,0
251353,DAU,2018-3-7,0
251361,DAU,2018-3-8,0
267485,DAU,2018-3-9,0
316714,DAU,2018-3-10,0
307566,DAU,2018-3-11,0
236357,DAU,2018-3-12,0
229124,DAU,2018-3-13,0
219972,DAU,2018-3-14,0
