Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-10-24,220.1,221.25,217.05,219.55,219.8,2171956,4771.34
2018-10-23,221.1,222.2,214.75,219.55,218.3,1416279,3092.15
2018-10-22,229.45,231.6,222,223.05,223.25,3529711,8028.37
2018-10-19,230.3,232.7,225.5,227.75,227.2,1527904,3490.78
2018-10-17,237.7,240.8,229.45,231.3,231.1,2945914,6961.65
2018-10-16,237.1,237.7,233.05,234.4,235.45,1723113,4052.25
2018-10-15,229.7,237,226.8,234.8,234.9,1224339,2845.68
2018-10-12,226.25,232.35,225.5,228.7,229.1,1165527,2675.91
2018-10-11,215,229.7,215,225.6,224.6,1293881,2890.85
2018-10-10,215,229.65,215,228.25,228.4,2919278,6557.95
2018-10-09,215.5,219.15,209.6,215,216.5,1844462,3940.7
2018-10-08,208,222.25,206.85,216,215.15,4642146,10062.83
2018-10-05,217,218.6,205.9,210.25,209.2,3519515,7407.06
2018-10-04,223.5,227.8,216.15,217.25,218.2,1728786,3815.79
2018-10-03,230,237.5,225.75,226.45,227.6,1708590,3960.27
2018-10-01,234.55,234.6,221.05,230.3,230.9,1534749,3486.05
