Temperature(C),Humidity,Pressure(millibars),Wind Speed(km/h),If Rain
14.96666667,0.42,1005.13,12.7512,1
17.22222222,0.31,1004.7,11.27,1
17.77777778,0.28,1004.3,11.27,1
17.82777778,0.3,1003.92,12.5902,1
18.88888889,0.28,1003.1,12.88,1
19.01666667,0.26,1002.4,14.8764,0
18.02222222,0.27,1001.95,14.4417,1
17.85,0.28,1001.79,13.7977,0
16.32222222,0.32,1001.6,10.8192,0
14.07777778,0.39,1001.9,9.2897,1
12.56666667,0.43,1001.92,9.016,0
12.92777778,0.47,1002.2,17.6295,0
11.49444444,0.54,1002.48,13.363,1
10.1,0.61,1002.25,11.3666,0
10.18333333,0.64,1002.05,7.2128,0
10.35,0.64,1001.85,11.2217,1
10.7,0.7,1001.42,14.6993,0
9.744444444,0.73,1001.11,11.9623,0
9.016666667,0.74,1001.07,13.7494,1
8.888888889,0.77,1001,14.49,1
10.05555556,0.76,1001.22,13.9748,0
10.15555556,0.83,1002.04,14.168,1
12.01111111,0.75,1002.7,12.1716,1
14.71666667,0.59,1002.78,24.794,1
15.92222222,0.5,1003.06,21.252,1
17.17777778,0.42,1002.61,25.3414,0
16.18333333,0.41,1002.67,28.2877,0
17.01666667,0.39,1003.01,24.0051,1
16.18333333,0.47,1002.65,24.2466,0
16.24444444,0.43,1002.91,29.8816,0
16.02222222,0.44,1003.63,27.6437,1
15.18333333,0.5,1003.79,26.8548,0
12.45555556,0.52,1004.83,17.6134,0
9.727777778,0.6,1005.95,9.7727,1
7.983333333,0.7,1006.85,1.7388,0
6.905555556,0.77,1006.81,2.1091,0
6.277777778,0.85,1006.4,2.5438,1
5.283333333,0.86,1006.68,3.7996,0
4.688888889,0.83,1007.08,6.7781,0
4.516666667,0.88,1007.08,3.864,1
4.533333333,0.86,1007,6.7942,0
3.466666667,0.9,1006.8,4.2343,0
3.361111111,0.9,1006.51,4.0572,1
2.455555556,0.93,1006.38,5.2647,0
6.111111111,0.79,1006.9,4.83,1
9.877777778,0.72,1007.15,9.1609,1
12.77777778,0.64,1006.5,11.27,1
15.04444444,0.52,1006.08,11.0607,0
16.16111111,0.47,1005.91,12.3487,1
17.85,0.42,1004.89,11.6886,0
17.83333333,0.4,1004.24,9.9015,0
17.87222222,0.37,1003.56,10.9963,1
17.92222222,0.37,1002.95,10.8192,0
17.94444444,0.36,1002.63,13.4435,0
17.86666667,0.35,1002.15,12.3487,1
17.35,0.38,1001.05,12.6546,0
17.22222222,0.37,1000.92,11.2539,0
16.07777778,0.4,1001.06,12.0428,1
14.9,0.43,1000.7,8.1305,0
15.42222222,0.46,1000.66,13.1698,0
14.22222222,0.47,1000.22,6.2307,1
12.61111111,0.62,999.78,5.2647,1
11.15555556,0.85,999.72,3.542,1
10.61666667,0.94,998.82,6.1019,1
9.627777778,0.94,998.15,10.5294,1
9.588888889,0.94,997.64,10.6099,1
9.627777778,0.94,997.15,12.8639,1
9.1,0.94,996.45,13.7977,1
8.888888889,0.93,996.3,12.88,1
9.077777778,0.99,996.15,11.7047,1
10.16666667,0.94,995.84,12.9444,1
10.28333333,0.94,995.92,10.9158,1
11.47222222,0.93,995.93,10.4328,1
12.47777778,0.92,995.53,5.635,0
12.92222222,0.89,995.15,7.4865,1
13.95,0.82,994.83,7.0357,1
13.83333333,0.78,994.5,8.7101,1
12.82222222,0.9,994.29,7.7119,1
12.86111111,0.91,994.21,3.8157,1
12.82222222,0.96,993.94,9.4829,0
12.33888889,1,994.04,3.7513,0
12.31111111,0.93,994.32,4.4758,1
11.32222222,1,994.9,5.0232,0
11.73888889,0.94,994.83,6.8747,0
11.80555556,0.94,994.85,7.2772,1
11.69444444,0.94,994.72,10.8675,0
11.18333333,0.96,994.63,10.4811,0
11.25,0.96,994.39,6.6493,1
11.15555556,0.94,994.22,11.753,0
10.62777778,0.96,994.14,13.4435,0
10.64444444,0.94,994.46,10.7709,1
10.1,0.94,994.54,8.6135,0
10.1,0.94,994.94,5.635,0
11.11111111,0.87,995.54,9.4507,1
12.07777778,0.87,995.46,11.2539,0
12.66111111,0.85,995.85,10.787,0
14.65555556,0.82,995.96,9.6278,1
14.88333333,0.7,996,11.4471,0
16.88333333,0.61,996.1,9.4829,0
16.99444444,0.6,996.18,10.5455,1
