loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault
1040418,240418,31818.18182,3,11.466,1174.91,C,政府机构,金融业,3 years,0,1,2016/10/1,2,193,13,2.43,0,556.3636364,649.0909091,3,0,0,7734.230769,91.8,0,0,1-Dec,5,1,1,0,4,5,4,3,9927,0,0
1025197,225197,28000,5,16.841,670.69,C,政府机构,金融业,10+ years,0,2,2013/6/1,0,491,30,11.00454545,1,715,893.75,3,0,0,31329,54.8,1,0,Apr-90,40642,1,7,0,4,45,22,0,0,0,0
1009360,209360,17272.72727,3,8.9,603.32,A,政府机构,公共服务、社会组织,10+ years,1,0,2014/1/1,4,459,8,6.409090909,0,774.5454545,903.6363636,5,0,0,18514,57.69230769,1,0,Oct-91,154,1,6,0,6,28,19,0,0,0,0
1039708,239708,20000,3,4.788,602.3,A,世界五百强,文化和体育业,6 years,0,1,2015/7/1,0,157,8,9.204545455,0,750,875,3,0,0,20707,42.6,0,0,1-Jun,0,1,5,0,10,15,9,0,0,0,0
1027483,227483,15272.72727,3,12.79,470.31,C,政府机构,信息传输、软件和信息技术服务业,< 1 year,2,1,2016/7/1,0,38,21,15.57818182,0,609.0909091,710.6060606,15,0,0,14016.15385,30.46153846,0,0,2-May,0,1,10,0,6,15,4,0,0,0,0
1047529,247529,25454.54545,3,10.637,899.15,B,幼教与中小学校,信息传输、软件和信息技术服务业,10+ years,0,1,2013/11/1,0,258,8,15.80727273,0,636.3636364,689.3939394,4,0,0,16084.92308,58.89230769,0,0,Jan-83,28,1,6,0,6,20,15,0,0,0,0
1030964,230964,9090.909091,5,15.741,234.3,C,高等教育机构,金融业,10+ years,1,2,2014/12/1,0,58,17,4.243636364,1,600,650,9,1,1,1527.076923,17.01538462,0,0,2-Oct,0,1,4,0,9,25,6,0,0,0,0
1024822,224822,10288.63636,3,11.49,414.62,B,普通企业,制造业,2 years,1,1,2017/3/1,4,242,8,2.227272727,0,690,805,4,0,0,5082,34.7,0,0,8-Oct,4,1,4,0,0,9,9,0,0,0,0
1008720,208720,6818.181818,3,20.064,272.05,D,普通企业,金融业,,0,2,2014/7/1,0,165,17,22.93090909,0,600,750,9,1,1,18810,88.61538462,0,0,Nov-71,0,1,6,0,2,34,22,0,0,0,0
1045305,245305,10800,3,14.33,339.95,C,幼教与中小学校,住宿和餐饮业,4 years,1,1,2013/7/1,0,263,0,21.22363636,0,564.5454545,705.6818182,8,0,0,3433.846154,93.34615385,0,0,1-Dec,37768,1,3,0,15,6,6,0,0,0,0
1007760,207760,14727.27273,5,12.897,421.92,C,政府机构,建筑业,3 years,1,1,2013/7/1,0,14,11,24.5,0,636.3636364,689.3939394,18,0,0,27758.76923,69.1,1,0,4-Jul,35995,1,4,0,8,11,9,0,0,0,0
1042906,242906,6400,3,20.889,234.57,E,幼教与中小学校,金融业,,2,2,2014/10/1,0,296,5,37.56,1,725.4545455,906.8181818,8,0,0,13980,69.57692308,1,0,Aug-91,0,1,3,0,6,16,9,0,0,0,0
1047890,247890,29454.54545,3,6.489,1115.04,A,政府机构,电力、热力生产供应业,< 1 year,2,1,2017/10/1,0,49,12,29.72454545,0,668.1818182,779.5454545,24,0,0,31375.07692,48.34615385,0,1,May-91,0,1,8,0,24,30,10,0,0,0,0
1049951,249951,1636.363636,3,17.091,65.98,D,普通企业,住宿和餐饮业,10+ years,1,1,2016/5/1,0,255,9,23.14,0,660,770,6,2,0,5049,108.7692308,0,0,3-Aug,0,1,3,0,6,4,2,0,0,0,1
1043543,243543,20415.90909,5,15.291,429.24,D,普通企业,电力、热力生产供应业,10+ years,0,0,2015/7/1,0,408,14,29.40909091,0,685,799.1666667,6,0,0,21566.53846,82.3,0,0,2-Feb,0,1,3,0,10,9,6,0,0,0,0
1020746,220746,5500,3,12.62,184.32,C,普通企业,住宿和餐饮业,,1,0,2018/2/1,0,549,8,36.76363636,1,605.4545455,706.3636364,10,0,0,7252,29.26153846,0,0,Dec-89,0,1,4,0,6,9,4,0,0,0,0
1010877,210877,35000,5,12.69,790.82,C,上市企业,建筑业,3 years,0,2,2015/4/1,0,19,14,27.45,0,805,939.1666667,17,0,0,3976.615385,8.615384615,0,0,Dec-95,0,1,3,0,10,18,6,0,0,0,1
1015159,215159,7090.909091,3,6.615,186.23,A,普通企业,金融业,3 years,0,2,2017/12/1,0,616,0,20.71636364,0,556.3636364,602.7272727,11,0,0,10645,58.26923077,0,0,Sep-95,0,1,8,0,4,14,6,0,0,0,0
1001504,201504,20454.54545,3,6.291,771.82,A,普通企业,公共服务、社会组织,1 year,0,1,2015/2/1,4,89,3,14.95454545,0,576.8181818,672.9545455,10,1,0,53312,53.09230769,0,0,Nov-89,4,1,8,0,2,19,12,0,0,0,0
1020141,220141,8181.818182,5,17.171,241.12,D,普通企业,金融业,10+ years,1,2,2015/3/1,4,95,13,14.13636364,1,670,837.5,7,0,0,13693.07692,73.9,0,0,Nov-94,4,1,4,0,5,6,4,0,0,0,1
1033907,233907,41363.63636,5,15.939,823.31,C,普通企业,电力、热力生产供应业,10+ years,0,1,2016/11/1,4,63,14,12.99272727,0,540,675,21,0,0,47656,73.66153846,1,0,3-Oct,4,1,14,0,14,24,11,0,0,0,1
1008326,208326,8727.272727,3,10.923,257.88,B,政府机构,金融业,2 years,1,0,2017/12/1,0,49,12,4.327272727,0,600,650,4,0,0,4550,46.5,0,0,Oct-99,0,1,4,0,1,5,3,0,0,0,0
1038312,238312,16363.63636,5,14.193,483.93,D,上市企业,文化和体育业,4 years,0,0,2016/1/1,0,526,20,16.17818182,0,720,780,6,0,0,21223,103.3846154,1,0,5-Nov,0,1,4,0,12,7,3,0,0,0,0
1022595,222595,21818.18182,3,9.99,645.25,B,普通企业,公共服务、社会组织,8 years,0,1,2015/3/1,0,232,13,15.68727273,0,660,825,7,1,1,6538,41.9,0,0,Mar-95,0,1,2,0,3,17,12,0,0,0,0
1013319,213319,4545.454545,3,12.744,171.28,C,普通企业,房地产业,4 years,2,0,2014/2/1,8,529,23,8.09,0,774.5454545,839.0909091,3,0,0,2917.846154,49.47692308,1,0,4-Dec,9,1,2,0,1,4,3,0,0,0,0
1033417,233417,17727.27273,3,17.091,549.77,D,高等教育机构,信息传输、软件和信息技术服务业,< 1 year,1,1,2016/11/1,4,171,8,22.77818182,0,741.8181818,865.4545455,9,0,0,11990.46154,62.13846154,1,0,12-Aug,4,1,3,0,5,4,3,0,0,0,1
1037240,237240,18590.90909,5,19.99,541.69,E,普通企业,建筑业,5 years,1,1,2015/12/1,0,249,36,21.66545455,0,695,752.9166667,10,1,1,2249,26.19230769,0,0,4-Mar,0,1,4,0,9,8,1,0,0,0,0
1008433,208433,3636.363636,3,13.185,137.98,C,普通企业,交通运输、仓储和邮政业,10+ years,1,0,2015/6/1,0,550,8,29.27,0,660,770,14,1,1,8354,99.34615385,1,0,2-May,0,1,9,0,5,13,11,0,0,0,0
1029038,229038,27409.09091,5,12.591,779.32,C,世界五百强,批发和零售业,10+ years,0,1,2015/6/1,0,29,19,15.85,1,631.8181818,684.469697,8,0,0,13350,98.88461538,0,0,2-Feb,0,1,3,0,5,4,3,0,0,0,1
1023768,223768,3220.454545,3,10.791,90.5,B,普通企业,信息传输、软件和信息技术服务业,3 years,0,0,2014/12/1,0,413,37,10.68181818,0,660,770,10,0,0,5507.384615,40.3,1,0,Jun-95,0,1,5,0,12,20,12,0,0,0,0
1025265,225265,30000,3,5.841,903.31,A,幼教与中小学校,建筑业,10+ years,0,1,2018/4/1,0,54,28,26.47,0,785,915.8333333,13,0,0,23802.69231,29.19230769,1,0,Dec-98,0,1,6,0,9,10,6,0,0,0,0
1044891,244891,24818.18182,3,14.391,738.2,C,普通企业,房地产业,10+ years,0,1,2017/3/1,0,36,13,15.24,0,589.0909091,687.2727273,22,0,0,5449.846154,14.86153846,0,0,5-Jul,0,1,8,0,5,30,9,0,0,0,0
1000808,200808,35454.54545,5,13.49,690.15,C,政府机构,文化和体育业,8 years,0,1,2017/2/1,3,340,14,11.41,0,572.7272727,668.1818182,10,1,0,17638.92308,76.67692308,1,0,Jul-88,3,1,5,0,6,8,6,0,0,0,0
1011649,211649,8727.272727,3,10.076,255,B,普通企业,金融业,10+ years,0,2,2016/2/1,2,345,20,20.98636364,0,548.1818182,593.8636364,17,0,0,28251.92308,72.69230769,0,0,Feb-74,5,1,12,,12,16,8,0,0,0,0
1023458,223458,8181.818182,3,8.239,311.02,A,世界五百强,交通运输、仓储和邮政业,10+ years,2,0,2017/1/1,0,818,43,15.38181818,0,695.4545455,753.4090909,11,0,0,4607.307692,20.03076923,0,0,1-Nov,0,1,5,0,10,11,8,3,341,68.2,0
1021556,221556,15709.09091,3,11.691,646.84,C,政府机构,电力、热力生产供应业,4 years,1,1,2014/7/1,3,715,13,20.81454545,0,730,912.5,6,0,0,14237,86.42307692,0,0,4-Jun,3,1,3,0,6,10,4,3,4587,917.4,0
1031304,231304,22909.09091,5,17.171,506.34,D,上市企业,文化和体育业,10+ years,0,2,2015/2/1,0,235,8,1.75,0,752.7272727,878.1818182,5,0,0,6310.769231,76.03076923,1,0,1-Dec,0,1,1,0,2,2,0,0,5417,1083.4,0
1009118,209118,28363.63636,5,19.327,603.85,D,普通企业,批发和零售业,< 1 year,0,1,2014/10/1,0,451,36,12.96,1,695,810.8333333,11,1,0,10949.53846,49.10769231,1,0,Aug-96,0,1,6,0,5,13,4,5,9268,926.8,0
1032230,232230,27272.72727,3,12.88,840.91,C,高等教育机构,信息传输、软件和信息技术服务业,10+ years,0,0,2016/1/1,0,405,2,11.34545455,1,736.3636364,920.4545455,6,0,0,14843.23077,83.16923077,0,0,Oct-99,0,1,4,0,3,6,2,0,10584,2116.8,0
1040487,240487,11345.45455,3,13.33,324.99,C,普通企业,金融业,10+ years,1,2,2015/6/1,0,189,9,14.95454545,2,613.6363636,767.0454545,11,1,1,2022.461538,16.15384615,1,0,Jan-93,0,1,10,,2,18,10,3,3880,776,0
1040066,240066,16363.63636,5,16.77,494.59,D,普通企业,农、林、牧、渔业,5 years,0,2,2011/10/1,0,499,13,23.04,0,700,875,12,0,0,18492.92308,64.61538462,1,0,Nov-95,38,1,,,,,,1,2822,0,0
1009636,209636,20454.54545,3,8.69,782.26,A,政府机构,信息传输、软件和信息技术服务业,9 years,0,1,2014/3/1,0,63,14,9.59,0,785.4545455,916.3636364,14,0,0,12530.76923,20.03076923,0,0,Oct-93,0,1,9,0,8,19,14,3,1656,331.2,0
1045828,245828,27181.81818,3,11.061,767.12,C,世界五百强,信息传输、软件和信息技术服务业,10+ years,0,0,2015/10/1,4,43,19,5.94,0,710,887.5,9,2,0,16018.84615,48,0,0,Aug-83,4,1,5,0,5,16,12,0,5259,0,0
1001157,201157,4090.909091,3,10.087,143.46,B,普通企业,住宿和餐饮业,< 1 year,1,1,2015/8/1,0,267,27,10.36,0,540,585,8,2,2,1024,8.076923077,0,0,Nov-96,0,1,3,0,5,15,6,1,1565,469.5,0
1046115,246115,6545.454545,3,7.89,250.29,A,普通企业,公共服务、社会组织,2 years,1,0,2015/6/1,2,167,8,10.91818182,1,741.8181818,927.2727273,18,0,0,6332,11.1,0,0,1-Aug,5,1,8,0,7,23,17,3,1645,329,0
1048462,248462,20945.45455,3,5.841,588.38,A,上市企业,电力、热力生产供应业,10+ years,0,0,2016/2/1,0,812,14,8.64,0,634.0909091,686.9318182,11,0,0,37053,46.61538462,0,0,Apr-76,0,1,5,0,2,20,14,3,7692,0,0
